Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/26/2022 2:03,2/26/2022 3:37,WEST,KING,K1
PRIORITY CALL HANDLING,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",NARCOTICS - OTHER,2/26/2022 2:02,2/26/2022 2:03,WEST,QUEEN,Q3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",PROWLER - TRESPASS,2/26/2022 2:00,2/26/2022 3:51,EAST,EDWARD,E3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/26/2022 1:55,2/26/2022 2:02,WEST,KING,K2
ASSISTANCE RENDERED,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,DISTURBANCE - OTHER,2/26/2022 1:50,2/26/2022 1:54,EAST,CHARLIE,C3
REPORT WRITTEN (NO ARREST),911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),CRISIS COMPLAINT - GENERAL,2/26/2022 0:55,2/26/2022 2:09,WEST,KING,K2
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,2/26/2022 0:54,2/26/2022 1:04,NORTH,LINCOLN,L1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,2/26/2022 0:41,2/26/2022 0:48,SOUTHWEST,WILLIAM,W3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/26/2022 0:32,2/26/2022 0:32,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 23:57,2/25/2022 23:57,WEST,KING,K3
FOLLOW-UP REPORT MADE,911,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/25/2022 23:41,2/26/2022 4:08,NORTH,UNION,U2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 23:39,2/25/2022 23:49,NORTH,JOHN,J3
ORAL WARNING GIVEN,ONVIEW,2,WARRANT - FELONY PICKUP,WARRANT SERVICES - FELONY,2/25/2022 23:39,2/25/2022 23:39,WEST,MARY,M2
REPORT WRITTEN (NO ARREST),911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/25/2022 23:22,2/26/2022 1:20,EAST,EDWARD,E3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 23:22,2/25/2022 23:22,EAST,CHARLIE,C3
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 23:14,2/25/2022 23:33,NORTH,LINCOLN,L2
ASSISTANCE RENDERED,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCE - NOISE,2/25/2022 23:07,1/1/1900 0:00,NORTH,UNION,U1
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/25/2022 22:53,2/25/2022 22:55,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 22:39,2/25/2022 22:39,WEST,DAVID,D1
-,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,2/25/2022 22:36,2/25/2022 22:37,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/25/2022 22:33,2/26/2022 1:00,NORTH,BOY,B3
ASSISTANCE RENDERED,911,3,"NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCE - NOISE,2/25/2022 22:13,1/1/1900 0:00,WEST,KING,K1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 22:08,2/25/2022 22:08,WEST,KING,K2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/25/2022 21:57,1/1/1900 0:00,EAST,EDWARD,E2
PHYSICAL ARREST MADE,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - D.U.I.,2/25/2022 21:39,2/25/2022 21:40,WEST,MARY,M3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,DRIVE BY SHOOTING - NO INJURIES,2/25/2022 21:26,2/25/2022 21:36,SOUTH,ROBERT,R2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",1,DOWN - CHECK FOR PERSON DOWN,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 21:23,2/25/2022 21:31,WEST,QUEEN,Q3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/25/2022 21:22,2/25/2022 21:35,SOUTH,ROBERT,R3
-,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,ORDER  - SERVICE OF DV COURT ORDER,2/25/2022 21:12,2/25/2022 21:12,SOUTHWEST,WILLIAM,W2
REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",2/25/2022 20:43,2/25/2022 20:48,NORTH,NORA,N3
-,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),2/25/2022 20:39,2/25/2022 21:50,NORTH,LINCOLN,L2
-,911,2,"ANIMAL - INJURED, DEAD HAZARD, OTHER","ANIMAL - INJURED, DEAD HAZARD, OTHER",2/25/2022 20:39,2/25/2022 21:14,WEST,KING,K1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 20:20,2/25/2022 20:44,EAST,CHARLIE,C1
REPORT WRITTEN (NO ARREST),911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",PROPERTY DEST (DAMG),2/25/2022 20:13,2/25/2022 20:24,SOUTH,OCEAN,O2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",2/25/2022 20:13,2/25/2022 20:16,EAST,EDWARD,E3
ASSISTANCE RENDERED,ONVIEW,2,SHOPLIFT - THEFT,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 20:13,2/25/2022 20:13,SOUTH,SAM,S3
ASSISTANCE RENDERED,911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/25/2022 20:09,2/25/2022 20:32,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",2/25/2022 20:00,2/25/2022 20:08,WEST,KING,K3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,ROBBERY (INCLUDES STRONG ARM),ROBBERY - ARMED,2/25/2022 19:51,2/25/2022 19:59,SOUTH,SAM,S3
REPORT WRITTEN (NO ARREST),911,3,ROBBERY (INCLUDES STRONG ARM),ROBBERY - ARMED,2/25/2022 19:40,2/25/2022 21:08,NORTH,JOHN,J1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/25/2022 19:34,2/25/2022 19:41,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/25/2022 19:24,1/1/1900 0:00,WEST,MARY,M1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/25/2022 19:24,2/25/2022 19:43,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/25/2022 19:10,2/25/2022 19:18,SOUTH,ROBERT,R1
-,"TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS, PLATES AND/OR TAB","AUTO - THEFT/LOSS, PLATES AND/OR TAB",2/25/2022 18:56,2/25/2022 19:40,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/25/2022 18:55,2/25/2022 19:47,SOUTH,SAM,S3
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/25/2022 18:49,2/25/2022 18:49,NORTH,BOY,B2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",MISCHIEF OR NUISANCE - GENERAL,2/25/2022 18:42,2/25/2022 20:08,WEST,KING,K2
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,2/25/2022 18:37,2/25/2022 18:37,WEST,MARY,M1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 18:34,2/25/2022 18:41,SOUTHWEST,FRANK,F3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/25/2022 18:22,2/25/2022 19:47,NORTH,UNION,U1
ASSISTANCE RENDERED,911,1,SERVICE - WELFARE CHECK,ASSIST OTHER AGENCY - CITY AGENCY,2/25/2022 18:14,2/25/2022 18:26,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),CRISIS COMPLAINT - GENERAL,2/25/2022 18:11,2/25/2022 18:25,WEST,QUEEN,Q3
ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 18:06,2/25/2022 18:24,SOUTH,OCEAN,O1
ASSISTANCE RENDERED,911,1,DETOX - PICKUP (FIRE / POLICE STANDING BY),INTOX & LIQ VIOLS - INTOXICATED PERSON,2/25/2022 17:42,1/1/1900 0:00,WEST,MARY,M3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),DISTURBANCE - OTHER,2/25/2022 17:33,1/1/1900 0:00,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,DETOX - PICKUP (FIRE / POLICE STANDING BY),INTOX & LIQ VIOLS - INTOXICATED PERSON,2/25/2022 17:28,1/1/1900 0:00,WEST,MARY,M3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 17:22,2/25/2022 18:00,SOUTHWEST,FRANK,F2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 17:14,2/25/2022 17:57,WEST,DAVID,D1
ASSISTANCE RENDERED,911,2,BURN - RECKLESS BURNING,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 17:12,2/25/2022 17:18,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 17:08,2/25/2022 17:14,NORTH,JOHN,J2
ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",4,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/25/2022 16:59,1/1/1900 0:00,SOUTH,SAM,S1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/25/2022 16:56,2/25/2022 17:20,SOUTH,SAM,S3
REPORT WRITTEN (NO ARREST),911,2,"MVC - NON INJURY, BLOCKING",TRAFFIC - MV COLLISION INVESTIGATION,2/25/2022 16:28,2/25/2022 17:20,NORTH,JOHN,J3
ASSISTANCE RENDERED,ONVIEW,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,DISTURBANCE - OTHER,2/25/2022 16:27,2/25/2022 16:27,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/25/2022 16:25,2/25/2022 19:37,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,911,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - ASSIST MOTORIST,2/25/2022 16:19,2/25/2022 16:32,SOUTH,ROBERT,R1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/25/2022 16:12,2/25/2022 17:35,SOUTH,OCEAN,O1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - ALL OTHER,2/25/2022 15:39,2/25/2022 16:54,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 15:33,2/25/2022 15:55,NORTH,UNION,U2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - BUSINESS CHECK,2/25/2022 15:33,2/25/2022 15:33,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 15:31,2/25/2022 15:31,NORTH,BOY,B1
ASSISTANCE RENDERED,911,2,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 15:29,2/25/2022 16:49,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,2/25/2022 15:13,2/25/2022 15:13,WEST,DAVID,D3
PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",DIRECTED PATROL ACTIVITY,2/25/2022 15:02,2/25/2022 15:02,SOUTH,OCEAN,O1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,2/25/2022 14:52,2/25/2022 16:02,WEST,KING,K3
ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)","ASSIGNED DUTY - STATION DUTY (CLERK,MAIL,ETC)",2/25/2022 14:51,2/25/2022 14:51,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,TRAFFIC - MV COLLISION INVESTIGATION,2/25/2022 14:49,2/25/2022 15:00,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/25/2022 14:41,2/25/2022 17:05,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 14:40,2/25/2022 14:40,WEST,DAVID,D1
ASSISTANCE RENDERED,911,4,PROPERTY - FOUND,PROPERTY - FOUND PROPERTY,2/25/2022 14:02,2/25/2022 14:41,NORTH,UNION,U1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 13:57,2/25/2022 14:42,EAST,CHARLIE,C3
PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 13:38,2/25/2022 13:38,WEST,KING,K3
ASSISTANCE RENDERED,911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/25/2022 13:37,2/25/2022 14:25,SOUTHWEST,FRANK,F3
ORAL WARNING GIVEN,911,2,TRESPASS,PROWLER - TRESPASS,2/25/2022 13:33,1/1/1900 0:00,WEST,MARY,M1
ASSISTANCE RENDERED,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/25/2022 13:32,2/25/2022 14:04,SOUTH,SAM,S2
REPORT WRITTEN (NO ARREST),ONVIEW,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,2/25/2022 13:31,2/25/2022 13:31,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/25/2022 13:26,2/25/2022 13:26,WEST,KING,K3
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),2/25/2022 13:24,2/25/2022 13:32,WEST,QUEEN,Q2
FOLLOW-UP REPORT MADE,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/25/2022 13:23,2/25/2022 13:23,SOUTHWEST,FRANK,F3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"BURGLARY - RESIDENTIAL, UNOCCUPIED",2/25/2022 12:55,2/25/2022 17:18,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,2,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 12:30,2/25/2022 12:42,EAST,EDWARD,E1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 12:22,2/25/2022 12:22,EAST,CHARLIE,C1
REPORT WRITTEN (NO ARREST),ONVIEW,3,"FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC","FRAUD - FORGERY, BAD CHECKS",2/25/2022 12:20,2/25/2022 12:20,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),911,1,"AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 12:13,2/25/2022 12:51,EAST,EDWARD,E3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,2/25/2022 12:04,2/25/2022 12:19,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 11:59,2/25/2022 11:59,WEST,KING,K1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 11:28,2/25/2022 11:28,WEST,KING,K3
FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),2/25/2022 11:21,2/25/2022 11:21,NORTH,UNION,U1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - HOMELESS ENCAMPMENT,2/25/2022 11:13,2/25/2022 11:13,WEST,DAVID,D2
ASSISTANCE RENDERED,911,1,BURN - RECKLESS BURNING,ASSIST OTHER AGENCY - CITY AGENCY,2/25/2022 11:09,2/25/2022 11:15,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 11:05,2/25/2022 11:05,WEST,KING,K3
ASSISTANCE RENDERED,911,1,DIST - IP/JO - DV DIST - NO ASLT,DISTURBANCE - OTHER,2/25/2022 11:02,2/25/2022 11:19,NORTH,UNION,U2
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,2/25/2022 11:01,2/25/2022 12:06,EAST,CHARLIE,C3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 10:48,2/25/2022 11:05,NORTH,BOY,B3
ASSISTANCE RENDERED,911,2,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/25/2022 10:43,1/1/1900 0:00,NORTH,BOY,B2
FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/25/2022 10:41,1/1/1900 0:00,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/25/2022 10:34,2/25/2022 12:10,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,THEFT - CAR PROWL,2/25/2022 10:27,2/25/2022 10:27,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/25/2022 10:25,2/25/2022 12:14,NORTH,NORA,N2
REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,CRISIS COMPLAINT - GENERAL,2/25/2022 10:22,2/25/2022 14:12,WEST,KING,K3
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/25/2022 10:20,2/25/2022 10:20,SOUTHWEST,FRANK,F1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",4,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/25/2022 10:18,1/1/1900 0:00,NORTH,LINCOLN,L2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/25/2022 10:08,2/25/2022 10:12,WEST,KING,K3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/25/2022 9:52,2/25/2022 10:13,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/25/2022 9:50,2/25/2022 10:09,SOUTHWEST,FRANK,F3
REPORT WRITTEN (NO ARREST),911,2,SERVICE - WELFARE CHECK,DV - ASSIST VICTIM BY COURT ORDER,2/25/2022 9:46,2/25/2022 10:06,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/25/2022 9:38,2/25/2022 9:38,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/25/2022 9:32,2/25/2022 9:32,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/25/2022 9:27,2/25/2022 9:27,WEST,KING,K3
ASSISTANCE RENDERED,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/25/2022 9:22,2/25/2022 9:38,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT & RECOVERY,2/25/2022 9:08,2/25/2022 9:08,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),911,5,TRU - MVC - HIT AND RUN,TRAFFIC - MV COLLISION INVESTIGATION,2/25/2022 9:06,2/25/2022 9:07,EAST,GEORGE,G3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DIST - DV - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",2/25/2022 9:06,2/25/2022 12:48,WEST,QUEEN,Q1
